x,y,z,Bx,By,Bz
-1.5,-1.1,0.4,8.707,0.693,-24.250999999999998
-1.5,-1.1,0.5,10.257,0.728,-24.219
-1.5,-1.1,0.6,11.888,0.693,-24.27
-1.5,-1.1,0.7,13.460999999999999,0.631,-24.250999999999998
-1.5,-1.1,0.8,15.050999999999998,0.613,-24.246
-1.5,-1.1,0.9,16.607,0.6709999999999999,-24.215
-1.5,-1.1,1.0,18.16,0.593,-24.256999999999998
-1.5,-1.1,1.1,19.697,0.648,-24.179000000000002
-1.5,-1.1,1.2,21.311999999999998,0.589,-24.228
-1.5,-1.1,1.3,22.836,0.603,-24.099
-1.5,-1.1,1.4,24.365,0.57,-24.124000000000002
-1.5,-1.1,1.5,25.933000000000003,0.57,-24.089000000000002
-1.5,-1.0,-1.5,-21.209,0.862,-23.698
-1.5,-1.0,-1.4,-19.651,0.812,-23.849
-1.5,-1.0,-1.3,-18.094,0.8640000000000001,-23.944000000000003
-1.5,-1.0,-1.2,-16.553,0.826,-23.962
-1.5,-1.0,-1.1,-15.014000000000001,0.836,-24.000999999999998
-1.5,-1.0,-1.0,-13.411,0.857,-24.023000000000003
-1.5,-1.0,-0.9,-11.841,0.82,-24.143
-1.5,-1.0,-0.8,-10.302,0.78,-24.115
-1.5,-1.0,-0.7,-8.642000000000001,0.8170000000000001,-24.113000000000003
-1.5,-1.0,-0.6,-7.115,0.787,-24.134
-1.5,-1.0,-0.5,-5.506,0.779,-24.171999999999997
-1.5,-1.0,-0.4,-3.9139999999999997,0.754,-24.243000000000002
-1.5,-1.0,-0.3,-2.3169999999999997,0.775,-24.182
-1.5,-1.0,-0.2,-0.721,0.713,-24.255
-1.5,-1.0,-0.1,0.818,0.732,-24.247
-1.5,-1.0,0.0,2.443,0.746,-24.221999999999998
-1.5,-1.0,0.1,3.99,0.732,-24.252
-1.5,-1.0,0.2,5.591,0.695,-24.261
-1.5,-1.0,0.3,7.204,0.747,-24.233
-1.5,-1.0,0.4,8.737,0.693,-24.249000000000002
-1.5,-1.0,0.5,10.345,0.6579999999999999,-24.247
-1.5,-1.0,0.6,11.918,0.657,-24.255
-1.5,-1.0,0.7,13.525,0.635,-24.247
-1.5,-1.0,0.8,15.065999999999999,0.64,-24.230999999999998
-1.5,-1.0,0.9,16.634,0.573,-24.244
-1.5,-1.0,1.0,18.183,0.64,-24.206999999999997
-1.5,-1.0,1.1,19.778,0.644,-24.191999999999997
-1.5,-1.0,1.2,21.33,0.575,-24.186
-1.5,-1.0,1.3,22.868000000000002,0.621,-24.165
-1.5,-1.0,1.4,24.447,0.578,-24.081999999999997
-1.5,-1.0,1.5,25.997,0.552,-24.094
-1.5,-0.9,-1.5,-21.151999999999997,0.935,-23.688000000000002
-1.5,-0.9,-1.4,-19.643,0.8909999999999999,-23.747
-1.5,-0.9,-1.3,-18.057000000000002,0.868,-23.866999999999997
-1.5,-0.9,-1.2,-16.472,0.8540000000000001,-23.866
-1.5,-0.9,-1.1,-14.933,0.816,-23.934
-1.5,-0.9,-1.0,-13.379000000000001,0.877,-24.015
-1.5,-0.9,-0.9,-11.785,0.846,-24.016
-1.5,-0.9,-0.8,-10.254000000000001,0.843,-24.083000000000002
-1.5,-0.9,-0.7,-8.648,0.789,-24.08
-1.5,-0.9,-0.6,-7.024,0.812,-24.131
-1.5,-0.9,-0.5,-5.477,0.7120000000000001,-24.138
-1.5,-0.9,-0.4,-3.861,0.785,-24.119
-1.5,-0.9,-0.3,-2.2769999999999997,0.782,-24.185
-1.5,-0.9,-0.2,-0.703,0.75,-24.218000000000004
-1.5,-0.9,-0.1,0.893,0.7490000000000001,-24.186999999999998
-1.5,-0.9,0.0,2.476,0.7829999999999999,-24.212
-1.5,-0.9,0.1,4.052,0.727,-24.155
-1.5,-0.9,0.2,5.6610000000000005,0.693,-24.206999999999997
-1.5,-0.9,0.3,7.277,0.68,-24.224
-1.5,-0.9,0.4,8.861,0.65,-24.197
-1.5,-0.9,0.5,10.385,0.674,-24.199
-1.5,-0.9,0.6,11.956,0.746,-24.224
-1.5,-0.9,0.7,13.564,0.617,-24.208000000000002
-1.5,-0.9,0.8,15.107000000000001,0.61,-24.218000000000004
-1.5,-0.9,0.9,16.679000000000002,0.662,-24.201999999999998
-1.5,-0.9,1.0,18.264,0.59,-24.16
-1.5,-0.9,1.1,19.812,0.583,-24.19
-1.5,-0.9,1.2,21.381999999999998,0.614,-24.14
-1.5,-0.9,1.3,22.888,0.581,-24.083000000000002
-1.5,-0.9,1.4,24.489,0.57,-24.105
-1.5,-0.9,1.5,26.016,0.561,-24.049
-1.5,-0.8,-1.5,-21.115,0.9159999999999999,-23.659000000000002
-1.5,-0.8,-1.4,-19.601,0.872,-23.77
-1.5,-0.8,-1.3,-18.000999999999998,0.895,-23.855999999999998
-1.5,-0.8,-1.2,-16.479,0.8959999999999999,-23.921999999999997
-1.5,-0.8,-1.1,-14.924000000000001,0.845,-23.914
-1.5,-0.8,-1.0,-13.333,0.8290000000000001,-23.978
-1.5,-0.8,-0.9,-11.815999999999999,0.838,-23.999000000000002
-1.5,-0.8,-0.8,-10.225,0.794,-24.075
-1.5,-0.8,-0.7,-8.613,0.775,-24.059
-1.5,-0.8,-0.6,-7.053999999999999,0.8270000000000001,-24.125999999999998
-1.5,-0.8,-0.5,-5.4270000000000005,0.764,-24.135
-1.5,-0.8,-0.4,-3.8560000000000003,0.753,-24.149
-1.5,-0.8,-0.3,-2.298,0.764,-24.169
-1.5,-0.8,-0.2,-0.69,0.815,-24.22
-1.5,-0.8,-0.1,0.92,0.7120000000000001,-24.136999999999997
-1.5,-0.8,0.0,2.48,0.733,-24.238000000000003
-1.5,-0.8,0.1,4.121,0.725,-24.199
-1.5,-0.8,0.2,5.689,0.72,-24.236
-1.5,-0.8,0.3,7.263999999999999,0.741,-24.233
-1.5,-0.8,0.4,8.838,0.737,-24.171
-1.5,-0.8,0.5,10.468,0.695,-24.22
-1.5,-0.8,0.6,12.020999999999999,0.67,-24.213
-1.5,-0.8,0.7,13.574000000000002,0.687,-24.18
-1.5,-0.8,0.8,15.16,0.6890000000000001,-24.194000000000003
-1.5,-0.8,0.9,16.706,0.654,-24.186
-1.5,-0.8,1.0,18.299,0.609,-24.168000000000003
-1.5,-0.8,1.1,19.852,0.624,-24.154
-1.5,-0.8,1.2,21.432,0.598,-24.125
-1.5,-0.8,1.3,22.933000000000003,0.607,-24.070999999999998
-1.5,-0.8,1.4,24.474,0.578,-24.105
-1.5,-0.8,1.5,26.085,0.5479999999999999,-24.076999999999998
-1.5,-0.7,-1.5,-21.066,0.848,-23.625
-1.5,-0.7,-1.4,-19.577,0.9,-23.816999999999997
-1.5,-0.7,-1.3,-18.033,0.838,-23.865
-1.5,-0.7,-1.2,-16.494,0.885,-23.910999999999998
-1.5,-0.7,-1.1,-14.902999999999999,0.878,-23.925
-1.5,-0.7,-1.0,-13.325999999999999,0.84,-24.013
-1.5,-0.7,-0.9,-11.727,0.769,-24.078000000000003
-1.5,-0.7,-0.8,-10.238999999999999,0.8059999999999999,-24.073
-1.5,-0.7,-0.7,-8.607999999999999,0.8059999999999999,-24.033
-1.5,-0.7,-0.6,-6.992999999999999,0.8190000000000001,-24.059
-1.5,-0.7,-0.5,-5.456,0.7859999999999999,-24.145
-1.5,-0.7,-0.4,-3.82,0.782,-24.149
